date,wind,precip,temp_max,temp_min,weather
1/1/2022,11.86,0.06,78,68,rain
1/2/2022,9.4,1.33,73,51,rain
1/3/2022,17.9,0.18,51,31,rain
1/4/2022,7.61,0,51,30,sun
1/5/2022,5.59,0,59,42,sun
1/6/2022,10.51,0.05,63,37,drizzle
1/7/2022,10.07,0,41,28,sun
1/8/2022,9.62,0,52,30,sun
1/9/2022,8.28,0.49,65,43,rain
1/10/2022,14.54,0,53,35,sun
1/11/2022,6.26,0,51,30,sun
1/12/2022,3.13,0,56,32,sun
1/13/2022,8.95,0,62,38,sun
1/14/2022,8.5,0,56,39,sun
1/15/2022,10.51,0.17,47,40,rain
1/16/2022,16.78,0.75,40,34,snow
1/17/2022,14.99,0,37,33,sun
1/18/2022,5.59,0,56,30,sun
1/19/2022,5.59,0,62,35,sun
1/20/2022,11.86,0.31,53,32,rain
1/21/2022,8.95,0.01,38,31,drizzle
1/22/2022,5.82,0,45,30,sun
1/23/2022,8.28,0,54,26,sun
1/24/2022,7.61,0,60,33,sun
1/25/2022,6.93,0,60,43,sun
1/26/2022,10.51,0,52,30,sun
1/27/2022,7.16,0,54,33,sun
1/28/2022,9.62,0.02,52,31,drizzle
1/29/2022,13.2,0,38,26,sun
1/30/2022,8.28,0,58,26,sun
1/31/2022,5.14,0,59,36,sun
